Company,Industry,Location,Employees,Stage,Website,Notes,Linkedin_url
LAWLESS Beauty,Beauty,"La Jolla, California",11-50,A,http://lawlessbeauty.com,"Needs Sales Assitant. There are no rules in beauty. 

""My mission is to create high performance, clean makeup that is supercharged with uncompromising ingredient quality, clinically tested to visibly improve the quality of your skin, so you can reap the benefits of your makeup for years to come.""
- Annie Lawless, Founder & Creator of Lawless Beauty",https://www.linkedin.com/company/lawless-beauty/
Beauty Heroes,Beauty,Northern California,11-50,A,http://beauty-heroes.com,"Needs Fufilment. Beauty Heroes is a healthy beauty discovery platform and retailer with the most stringent ingredient standard in beauty. A champion of independent brands, spa industry veteran and Founder, Jeannie Jarnot, disrupted the beauty subscription model in 2014 with Beauty Heroes’ Monthly Beauty Discovery which focuses on one brand at a time, curating their Hero products and delivering full-size products in an intentional and educational format. Beauty Heroes is known for their design and content forward approach to telling meaningful brand stories. Today, their online and Northern California brick & mortar stores stock over 100 of the healthiest beauty, lifestyle, and wellness brands from around the world. Credited with launching the Blue Beauty movement, Beauty Heroes is the destination for plant-positive brands looking to be discovered by their global community of conscious consumers. ",https://www.linkedin.com/company/beauty-heroes/about/
Batallure Beauty ,Beauty,"New York, NY",11-50,A,http://www.batallurebeauty.com,"Packagind Development, Batallure Beauty specializes in brand strategy, product and package development, sourcing and manufacturing in the fragrance, color cosmetics, hair care, skin care, body care and men’s grooming categories. We offer custom development for various levels of complexity and innovation, each executed with the highest quality standards. Our mission is to employ our knowledge, skill and unparalleled access to envision and evolve your brand into a successful beauty business.

In 2006, Robin Burns-McNeill and Sam Ghusson co-founded Batallure Beauty.The name was inspired by the French word “bataleur,” an acrobat who demonstrates balance and flexibility on a tight wire. Today, Batallure Beauty embodies those same traits. By leveraging the founders’ combined experience in creating the world’s most recognized and highly successful beauty brands, Batallure Beauty brings exceptional strength to every project, whether it’s a licensing agreement, joint venture, strategic alliance or private label business structure.",https://www.linkedin.com/company/batallure-beauty/about/
Beauty By Earth,Beauty,"Carrollton, Texas",11-50,A,http://beautybyearth.com,"Hiring tiktok creator, Beauty By Earth is a skincare + beauty company based out of Carrollton, Texas in the United States.",https://www.linkedin.com/company/beauty-by-earth/about/
Half Magic Beauty,Beauty,"West Hollywood, California",11-50,A,https://halfmagicbeauty.com/,"hiring for infleuncers relationship manager, From the imagination of award-winning makeup artist Donni Davy (HBO’s Euphoria), HALF MAGIC helps you to look and feel as unique as you truly are. Whether you want an eye-catching blast of color or a subtle pop of glitter, HALF MAGIC lets you wear your heart on your face and embody every version of you.

Our vegan and cruelty-free products help you shape-shift with every day – using intensely saturated pigments in bold mattes and multidimensional shimmers. All you need is a mirror and your creativity.

HALF MAGIC is for makeup extroverts and introverts, newbies and pros, young and old. It’s for the boldest of the bold, as well as the understated minimalist. It’s for the red carpet, the silver screen, or the grocery store. Whether you follow the rules or break them, you're the other half of this magic – we're thrilled that you’re here.",https://www.linkedin.com/company/half-magic-beauty/about/
Nakery Beauty,Beauty,"Tampa, FLorida",11-50,A,https://nakerybeauty.com,"Hiring for Brand Marketing Manager. Wellness You Can Feel, Skincare You Can See.™

Nakery Beauty is the first full-body beauty brand, created with you, that combines wellness benefits with clinically proven skin results in every category - from magnesium sleep balms to intimate‑area comfort creams and powerful anti-aging formulas that lift sagging skin. 

Our customer-inspired formulas tackle the root cause (stress, lack of sleep, hormonal slowdown, collagen loss) and the visible effect (sagging, depleted, and crepey skin) so women can feel better and look better with one effortless routine.

Because when you feel good, you look good! ",https://www.linkedin.com/company/nakery-beauty/
Kara Beauty,Beauty,"Los Angeles, California",11-50,A,Www.karabeauty.com,"Hiring for graphic designers.  We are a bold and colorful Indie Beauty brand from sunny Los Angeles. Our mission is to provide luxury quality at wallet-friendly prices. Our products are proudly vegan, cruelty-free & paraben free!",https://www.linkedin.com/company/kara-beauty/
Yola Beauty,Beauty,"Chino, California",11-50,A,http://www.yolabeauty.com,"Hot lead. Needs inventory and logistics. Yola Beauty is a beauty brand management and distributor specializing in bringing global and K-Beauty brands to the U.S. market. We offer full-service support including brand localization, compliance, GTM planning, retail execution, and sales expansion across major offline and online channels. Our mission is to scale beauty brands through strategy, creativity, and strong retail partnerships.",https://www.linkedin.com/company/yolabeauty/
Hospitality Newfoundland and Labrador,Travel,"St. John's, Newfoundland and Labrador",11-50,A,http://www.hnl.ca,"Hot Lead. Needs a a project manager. Hospitality Newfoundland and Labrador is a non-profit membership association that leads, supports, represents and enhances the province’s tourism industry.

Since 1983, Hospitality NL has been the voice of the provincial tourism industry. Its work on behalf of members and the industry itself has played a crucial role in developing the tourism industry into the flourishing economic driver that it is today. 

Focused on advocacy, education, the adaptation of innovative technology and the promotion of a strong member network, through forward thinking and fostering the growth of its members, Hospitality NL continues to be the leader of the tourism industry in the province.",https://www.linkedin.com/company/hospitalitynl/about/
Shannon Connex Recruiting,Travel,"Orlando, Florida",11-50,A,www.shannonconnexllc.com,"Openings for creative director and program manager. Your Connextion to the Hospitality Industry!  

Speaker:
If your team needs help understanding clients and how to connect with them to grow their business, they most likely aren't speaking their language based on the client's personality type.  

My talk, “The Art of Client Connection,” gives sales teams actionable tools they can use right away to navigate their client relationships from just selling to understanding who they are selling to, resulting in revenue growth and stronger working relationships.  Focusing on who. Understanding the how.

Recruiter:
Shannon Connex Recruiting focuses specifically on matching our clients with the right candidates within the hospitality industry. With 25 years of industry-specific experience and knowledge, we are passionate about finding the right talent to build your brand, grow your company, and match your culture. We do the heavy lifting regarding sourcing, interviewing, and selecting the best in the business so that you can seamlessly focus on keeping your business thriving - even in your busiest months.

We are proud to service the following markets:
DMCs
Event Caterers
Experiential
Meetings & Incentives
Décor, Floral, Production, Entertainment

Placing Meeting Planners, Travel Directors, Producers, Designers, Operations, GMs, Account Managers, Creatives, and more.",https://www.linkedin.com/company/shannon-connex-llc/
DigiShopGirl,Travel,"Seattle, WA",11-50,A,http://www.digishopgirl.com,"In need of marketing manager. DigiShopGirl Media is the leading boutique agency dedicated to providing best practices and expertise in the rapidly evolving Direct-to-Consumer brand industry. We work with consumer startups and up-and-coming brands such as Noom, Away Travel, Rent The Runway, Blueland, Starface, Madison Reed and Dame Products.

Particular area of expertise are:

- Omni-channel digital marketing:
- SEO/SEM
- Social (FB/Instagram/Pinterest/Snapchat/Tiktok)
- Email
- Mobile
- Amazon e-commerce setup and advertising
- Instacart advertising
- Integration and reporting across different digital channels

- User acquisition and retention

- Email marketing

- E-commerce / Payments / CRM infrastructure",https://www.linkedin.com/company/digishopgirl/
PIVOT Agency,Travel,"Walnut Creek, CA",11-50,A,http://www.pivot-agency.com,"Hiring for future career opportunities. As a premier sports marketing, travel, and lifestyle company, we specialize in creating game-changing strategies, unforgettable travel experiences, and dynamic lifestyle solutions that connect brands, athletes, and fans in meaningful ways. From luxury travel experiences to high-profile sporting events and elite brand partnerships, we help our clients pivot toward new possibilities, audiences, and success.",https://www.linkedin.com/company/pivot-marketing-agency/about/
Kinship,Travel,"Chicago, Illinois",11-50,A,http://kinshipcompany.com,"Strong lead. In need of strategy and operations personnel. We believe in the power of connection and in food, travel and culture to rekindle our earliest sense of wonder, place and identity. We are a complete marketing agency built for where the world is going.",https://www.linkedin.com/company/kinshipcompany/jobs/
SITE ,Travel,"Chicago, Illinois",11-50,A,"http://www.siteglobal.com
","SITE is the only truly global business events association dedicated exclusively to incentive travel.

Founded in 1973, we are a professional association of 3,500 members located in 87 countries, working in corporations, agencies, airlines, cruise companies, and across the entire destination supply chain.

We bring value to our members at both global and local chapter level by networking, online resources, education, certification, and advocacy. SITE is deeply committed to the new generation and operates a best-in-class Young Leaders program and dedicated annual conference.",https://www.linkedin.com/company/site/
GSBA,Travel,"Seattle, WA",11-50,A,http://thegsba.org,"Great lead, looking for operations, founders, Established in 1981, GSBA, Washington's LGBTQ+ and allied chamber of commerce, is the largest LGBTQ+ chamber of commerce in North America. We represent over 1,300 small business, corporate, and nonprofit members who share the values of promoting equality and diversity in the workplace.

GSBA proudly serves as a connector across the region, bringing the community together through business while advocating for civil rights and small business, promoting LGBTQ+ tourism through Travel Out Seattle, and investing in the next generation of leaders through the GSBA Scholarship Fund.

MISSION | To combine business development, leadership and social action to expand economic opportunities for the lesbian, gay, bisexual and transgender community and those who support equality for all.

VISION | A vibrant global economy strengthened through the full participation of diverse local communities.

VALUES
Exchange Ideas
Increase Visibility
Work Collaboratively
Celebrate Diversity
Promote Inclusiveness
Invest in Future Leaders",https://www.linkedin.com/company/gsba/
NāSah's Nail Salon,Travel,"Nashville, Tennessee",11-50,A,http://www.nasahsnurturenature.com,"Needs service provider. Sales associate. Nestled within the bustling corridors of Nashville International Airport, we stand as a beacon of beauty and wellness, poised to elevate your every journey. We offer an exquisite array of meticulously selected products and unrivaled services to imbue your travels with luxury and comfort.



But our venture goes beyond mere business—it's a conduit for change and growth. Through strategic alliances with other petite but potent enterprises, we construct bridges of goodwill. We weave a tight web of support around communities, sparking initiatives that ripple out far beyond our locale, touching corners of the globe.



In essence, we strive not merely to enhance your travel experience through our business but to ignite optimism and positive transformation. We are more than a hub in an airport; we are a nexus of positive change, aspiring to leave the world a tad more beautiful, healthier, and unequivocally brighter.

”When you nurture nature, nature nurtures you” ",http://www.nasahsnurturenature.com
AAMP Agency ,Travel,"Las Vegas, Nevada",11-50,A,https://aamp.agency,"Travel agency, needs manager. unique blend of marketing expertise and operational understanding to every project. We know the travel sector from the inside out, including how guests think, how operations run, and what truly drives conversions.

Our global team of expert marketers combines diverse backgrounds in tourism, digital strategy, creative content, and performance marketing. Every strategy is built entirely in-house and tailored to your brand. Our goal is to help you stand out and become the go-to choice for unforgettable travel experiences.

From cutting-edge digital campaigns to high-performing website design and storytelling-driven content, we help tourism brands inspire travelers, increase bookings, and elevate their presence worldwide.

At AAMP Agency, we do more than market travel. We help you create moments people will never forget.",https://www.linkedin.com/company/aamp-agency/about/
Magical Destinations Travel,Travel,"Loxley, Alabama",11-50,A,http://www.magicaldestinations.net/,"Need consultants. Planners, Specialists. Magical Destinations Travel is a full service travel agency based in south Alabama with Independent contractors located across the United States.",https://www.linkedin.com/company/magical-destinations-travel/about/
"Signal Travel & Tours, Inc.",Travel,"Niles, Michigan",11-50,A,http://www.signaltravel.com,"Needs Travel Agent. Signal Travel & Tours is an American Express Representative privately owned and operated by Michele L. Boyd. Originally created in 1968, we have been serving the Michiana area for over 30 years. We have since expanded to four locations across Michiana - with store fronts in Niles, Dowagiac, St. Joseph, Michigan and South Bend, Indiana.",https://www.linkedin.com/company/signal-travel-&-tours-inc./about/
STRIDE Fitness,Wellness & Fitness,"Huntington Beach, California",11-50,A,https://stridefitness.typeform.com/franchise,"Needs project manage, coordinator, operations, STRIDE Fitness delivers the ultimate cardio and strength training experience through treadmill intervals, targeted strength work, and expert coaching in a high energy, results driven environment. Our studios are equipped with premium technology, Woodway 4Front treadmills, custom strength equipment, and a dedicated recovery zone so members can train hard and recover smarter under one roof.

We’re building more than workouts, we’re building a movement. With locations expanding nationwide and a proven, scalable business model, STRIDE Fitness gives entrepreneurs the opportunity to own a franchise and bring our performance driven concept to their local market.

Find your pace. Build your strength. Recover better. Grow with STRIDE Fitness as we continue evolving into a fully integrated, holistic training and recovery experience.",https://www.linkedin.com/company/stride-franchise/jobs/
MaxStrength Fitness,Wellness & Fitness,"WESTLAKE, OHIO",11-50,A,http://maxstrengthfitness.com,"Needs admin assistant. At MaxStrength Fitness we believe there is a better way to live. We understand what it feels like to worry about your health. We’ve created a powerful, no-sweat workout that helps you achieve your goals while still having time for everything you enjoy. 
With locations in Westlake and Willoughby Ohio we are northeast Ohio's premier fitness facility. ",https://www.linkedin.com/company/maxstrength-fitness/jobs/
American Fitness Services,Wellness & Fitness,"Phoenix, AZ",11-50,A,http://www.AFSAZ.com,"Needs operations and coordinators. American Fitness Services provides a full range of services including diagnostics, repair, part replacement, part installation, delivery, install, warranty/non warranty & preventative maintenance. We offer 7 days week dependability and response time to be on site 24-48 hours from time of service call, including overnight PM Service, helps us keep our clients satisfied. Because our dedication, hard work, customer service, and the passion for what we do has given us the privilege to service clients across the state of Arizona, New Mexico, and Oklahoma. Servicing businesses as: Universities & colleges, physical therapies, professional sports teams, health clubs, hotels & resorts, apartment communities, and fire/police departments. AFS has gained valuable experience through our loyal clients and because of their satisfaction we continue grow and be a strong dependable company who services any fitness manufactures equipment.",https://www.linkedin.com/company/american-fitness-services/jobs/
Coachella Fitness Concepts Inc.,Wellness & Fitness,"Palm Springs, CA",11-50,A,cfcinc.biz,"Coachella Fitness Concepts Inc. is committed to helping our community live their best lives through affordable and accessible yoga and Pilates classes. We believe everyone deserves the mind-body experience of fitness, creating better health with a focus on cardiovascular health, core strength, stability, and balance. We offer a variety of different class types designed to accommodate students of all levels in a way that is empowering, energizing, and fun. Our methodologies provide a consistent but creative experience for each class type, every time.

We are an authorized franchises for Xponential Fitness, the largest global franchise group of boutique fitness brands. Our studios are all located in the Coachella Valley of Southern California, specifically, Club Pilates Palm Springs, Club Pilates Rancho Mirage, YogaSix Palm Desert, and YogaSix La Quinta.",https://www.linkedin.com/company/cfcinc/about/
Muse Pole Dance & Fitness Studio,Wellness & Fitness,"Mississauga, Ontario",11-50,A,http://www.musefitness.com,"Needs project coordinator. My name is Elisabeth Magalhaes, Owner and Head Instructor at Muse.  My background is varied and my life experiences have all come together for me with the opening of my studio.  I am a very busy and happy wife and mother of three wonderful children; Kyle 18, Renee 12 and Nico 4.  I am a certified Personal Trainer and Fitness Instructor with a dance background in Ballet, Jazz and Modern Dance.   I have competed in various fitness competitions, with the most recent being the 2009 Fitness Star competition where I took first place in level 2 Athletic Female Fitness Model and Female Muscular as well as winning the best 6-pack female category.   I have been Pole Dancing for over 9 years and came to fall in love with the strength, grace and athleticism of it. 

 For me, Pole Dance has (and continues to be) the most fun, intense, challenging and effective ways that I have found to get and stay in shape.  No matter how good you get, you can always be better, try harder things, perfect old moves.  Pole Dance encompasses everything I love about being a woman: Strength, Sensuality, Beauty and Intensity.

With my background in group fitness, personal training and dance, I have developed a safe, fun and progressive program that is welcoming to the everyday woman (like me!). My goal is to provide a place for my students to come and have fun, get fit, feel sexy and put a spring in their step and a sway in their walk.

I look forward to meeting you in one of the many classes that I offer at the studio.  You will be happy you came.",https://www.linkedin.com/company/live-once-pole-dance-and-fitness-studio/jobs/
Alpha Lion,Wellness & Fitness,"Miami, FL",11-50,A,https://www.alphalion.com/,"Needs supply chain and data analytics. Alpha Lion is a leading fitness and nutrition company dedicated to creating innovative, high-performance supplements that help people achieve their fitness goals. Under the Alpha Lion umbrella, Superhuman is one of America's top pre-workout energy brands, focusing on making fitness fun and accessible.

Founded by gym lovers who got tired of an industry that takes itself too seriously, our mission is simple: turn boring workouts into daily celebrations and make fitness fun while making the world healthier.

We believe the best workouts happen when you're actually enjoying yourself. The fitness industry has been stuck in 'no pain, no gain' mode for too long. Great results and good times aren't mutually exclusive - they're better together.

There's nothing like the high of a great workout - that moment when the energy kicks in, your playlist hits right, and you surprise yourself with what you can do. We're here to make sure every session feels like that.

Join our fast-growing team and help shape the future of fitness. You'll work with passionate fitness enthusiasts in a culture that values creativity, excellence, bold ideas, and moving at speed. We're disrupting the supplement industry with products people actually love to use, backed by formulations that deliver real results.",https://www.linkedin.com/company/alphalion/
InsideTracker,Wellness & Fitness,"Cambridge, MA",11-50,A,http://Insidetracker.com,"Needs operator,  growth, Created by experts in the fields of aging, genetics, and biometric data, InsideTracker provides a personal health analysis and data-driven wellness guide, designed to help you live healthier longer. By analyzing your body’s biomarkers, InsideTracker provides an objective assessment of the current state of your well-being. Then, our A.I.-powered platform uses findings from thousands of scientific peer-reviewed publications and over ten billion biomarker data points to generate a custom set of actionable recommendations and insights. Integrated within an intuitive mobile app, InsideTracker reveals your personalized path to improving your health and longevity from the inside out.",https://www.linkedin.com/company/insidetracker/
Medi-Weightloss,Wellness & Fitness,"Tampa, FLorida",11-50,A,http://www.mediweightloss.com,"Needs medical operations and strategy. For career opportunities visit: https://careers.mediweightloss.com/ 

Medi-Weightloss® is a three-phase, physician supervised weight loss program designed by experts in medicine and public health, nutrition, fitness, motivation, and education. In our over 100 practice locations physicians and medical professionals prescribe weight loss plans based on each patients unique goals, current condition, medical history, and food and exercise preferences. We provide individual counseling and motivate patients to reach their goal weight and transition to a healthier lifestyle. Our patients have lost over 8 million pounds! 

We offer a rewarding franchise opportunity for physicians and investors. Visit MediWeightlossFranchising.com for more information.  

Our Signature line of Supplements and Products are now available online! Visit Shop.MediWeightloss.com. ",https://www.linkedin.com/company/medi-weightloss-clinics-franchise-hq/jobs/
Be Amazing,Wellness & Fitness,"Nashville-Davidson, Tennessee",11-50,A,http://shopbeamazing.com,"Needs tik tok shop manager, possible operations lead. same high-quality premium supplements you love, with a whole new look ✨ be happy, be healthy, Be Amazing",https://www.linkedin.com/company/shopbeamazing/about/
GolfForever,Wellness & Fitness,"Snowmass, CO",11-50,A,https://golfforever.com/,"Needs fulll stack developer, which signals they are. building and improving features, operation lead. GolfForever is a comprehensive, smart at-home training system that takes a science-based approach to maximizing performance by improving flexibility, core strength, balance and rotational power. The first golf-specific home training program to embrace the approach of home exercise equipment paired with streaming instruction, GolfForever takes it one step further by customizing each golfer’s exercise routines just for them, based on a proprietary strength and flexibility test users take when starting. The result is a product and program that is safe, highly effective for any golfer and proven to work, as evidenced by a pilot study that saw users who used GolfForever three days per week for 30 days gain an average of 26 yards with their driver.

With exercise routines designed by some of the top PGA Tour trainers and orthopedic experts in the U.S., GolfForever users can expect to swing and perform their best – with a pain-free body – for as long as they play the game. It is used by more than 1,000 PGA Tour and LPGA Tour players, and thousands of everyday golfers alike.

Founded in Aspen, Colorado by Dr. Jeremy James, a leading specialist in chronic back pain and co-author of the Younger Next Year Back Book, GolfForever is the ideal companion to expert golf instruction. For more information, go to GolfForever.com or download the 4.9 App Store-rated mobile application for IOS or Android.",https://www.linkedin.com/company/golfforever/about/
Zenwise,Wellness & Fitness,"Carlsbad, California",11-50,A,https://www.zenwise.com,"At Zenwise, we know gut health is about more than just digestion, it’s the foundation of how you look, feel, and function every day. From energy and mood to immunity and skin, it all starts in the gut. That’s why we do things differently: every Zenwise formula begins with your gut in mind. Because when your gut is supported, everything else follows.",https://www.linkedin.com/company/zenwise/
HydroJug,Wellness & Fitness,"Ogden, Utah",11-50,A,https://www.thehydrojug.com/,"Needs coordinator.  At HydroJug we make it easy to drink a gallon each day. Our half-gallon jug, with its attractive appearance and convenient design, has made a strong presence in the fitness and lifestyle industry and is rapidly growing. Our bottles are BPA free and come in a variety of colors that is sure to appeal to everyone. Hydrate with us!",https://www.linkedin.com/company/hydrojug/about/
Rafiki Coalition for Health and Wellness,Wellness & Fitness,"San Francisco, California",11-50,A,http://rafikicoalition.org,"Needs staff. Rafiki Coalition for Health and Wellness is a health, wellness and fitness company based out of 601 Cesar Chavez, San Francisco, California, United States. 

Rafiki Coalition’s mission is to eliminate health inequities in San Francisco’s Black and marginalized communities through education, advocacy, and by providing holistic health and wellness services in a culturally affirming environment.

Rafiki Coalition strives to achieve its focus by providing health and wellness services including, but not limited to, health education, movement classes, health screenings, advocacy, transitional housing and case management services for people living with HIV/AIDS, trauma resiliency and mental health circles, and other health-promoting activities.",https://www.linkedin.com/company/rafiki-coalition-for-health-and-wellness/
Shape (ShapeScale),Wellness & Fitness,"San Francisco, California",11-50,A,"http://www.shapescale.com
","Needs operations. Y combinator and needs ios. developer, indicators of growth. Shape is a health tech startup based in San Francisco, California. We are backed by Y Combinator and the company is led by experienced hardware serial entrepreneurs. Shape has designed a product called ShapeScale. ShapeScale is transforming the way we measure our health goals by enabling you to visualize yourself in 3D and see where you have been losing fat and gaining muscle.",https://www.linkedin.com/company/shape-inc-/jobs/
CITYROW,Wellness & Fitness,"New York, New York",11-50,A,http://www.cityrow.com,"Studio manager.  It’s rowing – and so much more. 

CITYROW is a boutique fitness studio offering a one-of-a-kind workout that combines rowing intervals on sexy, water-based row machines with dynamic sculpting exercises for the perfect balance of cardio and strength training. Since opening in early 2014, CITYROW has amassed a devoted following and earned raves from Vogue, Harper's Bazaar, Details and more",https://www.linkedin.com/company/cityrow/about/
BODY20,Wellness & Fitness,"boca raton, FL",11-50,A,http://www.body20.com,"They are builders. Humans have built muscle the same way for thousands of years…….. lifting heavy objects. BODY20 has a better way. With no strain on tendons, ligaments, or joints, BODY20 allows our customers to get 36,000 muscle contractions in just 20 minutes while building muscle, burning fat and toning up. If you want to be part of the fitness future and love the idea of working for yourself while also helping people look and feel great we would love to talk to you about joining the BODY20 team.",https://www.linkedin.com/company/body20usa/about/
Hurdle,Wellness & Fitness,"London, United Kingdom",11-50,A,https://www.hurdle.bio,"Head of development. Still building.  Hurdle is building the diagnostic infrastructure for the future of healthcare—enabling anyone to launch, scale, or innovate with lab testing globally. Our end-to-end, API-first platform powers everything from branded sample collection to certified lab analysis, logistics, and AI-driven biomarker discovery. Whether you're a digital health company, clinic, or pharma brand, Hurdle helps you go live in days—not months—with scalable, compliant diagnostics designed for modern healthcare.",https://www.linkedin.com/company/hurdlebio/about/
"National Gym Supply, LLC",Wellness & Fitness,"Los Angeles, CA ",11-50,A,"www.gympart.com
","Director, National Gym Supply was built from the ground up in 1993 with Jon Webster at the helm. The goal – to reinvent the fitness equipment parts industry by helping customers extend the life of their fitness equipment. 30 years later, we’re the leading parts distributor in our industry and have 40+ team members who support national and international customers. How did we do it? We hired great team-oriented individuals with energy, ideas and gumption. 


We formed important partnerships with manufacturers and built an expansive inventory of more than 30,000 OEM and direct-sourced parts so we can ship faster and more efficiently. Technology is in our core.  We developed and continue to refine the industry’s most comprehensive set of online tools where you can research, identify what you need, view buying options and make intelligent purchases. And if you make a mistake, we charge no restocking fees.

We stock parts for all major fitness equipment manufacturers. With one-stop shopping, our 15,000 active customers save time and money by buying replacement parts for all brands of their fitness equipment on one website or by making one phone call. 


We trust our customers to be the experts in fitness equipment repair. But if you need help, use our “Find A Technician” feature to locate repair support in your area. With our “Exchange and Repair” service, our team of electronics repair experts repair  broken electronics.  Our customers can save up to 50% off the price of new electronic parts.

We also offer parts to keep your strength and selectorized equipment in peak condition such as snap links, weight pins, cable-making supplies and tools. Our online Custom-Cable app allows customers to build their own strength cable assemblies.

As our story evolves, our culture will continue to be centered around our key aim to constantly delight our customers with new and innovative ways to keep their fitness equipment running and in top shape. We’re just getting started!",https://www.linkedin.com/company/gympart/jobs/
Zion Physical Therapy,Wellness & Fitness,"NEW YORK, NY",11-50,A,"http://www.zionpt.com
","Scaling PT, Growth indicatod. Whether you are recovering from surgery, suffered an injury or are coping with chronic pain, Zion Physical Therapy is here to help you. At Zion Physical Therapy, you will receive one-on-one physical therapy care designed for your specific rehabilitation needs. We offer physical therapy treatment services to fit the type of therapy you need; everything from sports, orthopedic to post-operative physical therapy care. We work with you one on one to discuss & assess the injury & condition you are experiencing in order to design the exercise program &  treatment plan best suited for your recovery & well being. We also offer customized health and fitness programs designed for preventative care & to ensure you stay fit & healthy so that you prevent injuries from occurring in the first place.",https://www.linkedin.com/company/zion-physical-therapy/about/